000092B4 000063B5 00018264 00003D97 00037E85 00016F5D 00031AEA 00013475 0001E37F 000373BD 00018BB0 0001DEA8 00008AF9 000196A3 00032255 0000CE21
00006766 0002749B 00000645 00011A4C 00014A4B 000255B7 0001FB8C 000329B2 0003AA6D 0002B277 0001079A 0000B9A1 00010439 0003563A 00030B39 000346B9
0002E335 000154A1 0000F649 0001FB7D 0001AB6F 0002BA58 0002B6AC 00030A50 00004F0A 00006C95 0002BD94 00006CB9 00022FB9 000119F7 0003626B 0001173E
0001BC7D 0002C94D 0003CBF6 0002B99B 000225BA 0003F73D 0002344B 0003A29C 0000FAC0 000190E8 00018E60 0001F2E9 0000B903 0002CDB1 000272F4 00002FA2
0000E7CA 0001D317 0002F56C 000218E0 00006668 00017B7A 000083AE 00027FCF 00020E41 00008491 000329EA 000314E0 00033837 0000E26B 00025530 0000B53A
00002B6D 0001A2BC 0001992B 0002F33F 000122FA 00034D44 0000C3C4 0001D3DD 000320E5 000277EE 00009A5D 0003471E 0000075C 00035AF8 0002C53B 0002C651
00024CA0 00007A6D 00019A0A 0002A938 000301AB 00010FFE 00009C4B 00000371 0003FB70 0003C715 000064BC 0000824E 0002692E 00032579 0001F2D9 0003046D
00010F43 0000D399 0003E295 00039561 00011677 0001EA4F 00033A09 00014F67 00022B3B 00032C47 0001887A 0002DA52 000192E2 00031AB0 00017863 00017DF1
00035FE1 0000F6B0 0000C23F 00001B18 00037987 00030497 0001B919 0000B48D 000032AF 0000F2A8 0002FC4E 00022612 00015165 00000D71 00020DFE 0000E572
0001EA90 000166E7 00008E6A 00030CCB 0003CA31 00011397 000022C7 0003038C 0003AE74 00030945 00009FE7 00025590 00002873 00021696 0000C573 0000B81F
00013834 00005742 00021F58 000344B4 00028BE6 0002681E 00001112 000061CD 0001D9B3 00020A77 00036DC8 0003CEC9 0001A05E 0003B268 0003E7FA 0003414C
00032D9A 0003C2CA 00031DC5 00007920 0001DAAC 0002A993 00034D92 00017E88 00019C60 0003B322 0003F5E2 000177C5 00017D24 000188DA 00015988 00037FE9
0000A3F3 0001BFBF 000216CD 00022648 0003F0CB 0002A8A9 00035267 0000DD8C 000398E0 0003B99D 0001223C 0000BEC6 0002759B 0000E856 0001DCC3 000223AB
00016908 000078C7 00012D1C 00021CF7 000308F9 0003A9ED 000311CF 00038D7B 00018FA3 00006C02 0000B563 0001D173 0003607B 0002FB77 000349C6 00003803
0002E9BC 0003426F 0002B6A8 0003576F 000397F1 0003F868 000345B0 00027C25 0000CB85 0002AE1C 00002314 0003D64A 00009A99 0001604D 00030D22 0002989C
000258B0 0002B170 00020220 0002B1BE 0000F49D 000093C7 00011AA4 0000F08B 0000BC3D 000054F4 00001ABC 0003CA28 000059F6 0000095C 0002CC7E 00001F58
0002AB5B 0000CF31 000208F3 0002D7C1 0001FBD5 0001F388 000203EC 0003392A 00033BA8 0003C4EA 0002343C 0003615A 0003A55C 0002BFDC 00036B45 00000DA1
00009257 0003D79E 0000D215 0001CC29 000178D4 000090AE 0000E324 0003A06C 00006944 000138E2 0003D04C 00022155 0000531F 00033E92 000111A2 00034233
0001EC44 0000ADD5 0002FE29 00021C06 00028F87 00037851 0000A3BC 00027BF6 0002ECB8 0003D179 0003DFF2 0002CAE5 0002BE46 00023285 0002DF95 0000A1FD
000147B0 0002419B 00015B9A 00027391 00024503 00027F16 000078D5 0003E8EA 00031B89 0002C4C3 0003CC30 0001F3DE 00013FFB 00020ADB 00001967 0001AC99
0000DAAC 000379B2 000319BB 0001C7E6 00032738 00036DE1 0000CEE6 0003F8BA 000065C2 000383A6 00002DD1 0003C362 0001BE6E 0003528D 0000796D 00003B75
00026760 00003EE5 00025B48 000266EF 0001ADD6 00012074 00022997 0003E8E3 000334C2 0002361C 00007F6D 0003F0B6 00030FAA 0002B187 00026BAE 00005F76
0000C1CB 00019DCE 0002EB51 0000167E 00037BA2 00000822 00025D30 0000DD61 0003EBE8 0000F35F 0003AE3F 000129EB 00002FB1 00000CAA 0001A684 0002DBAC
